UserID,Gender,Age,Race,Province,Channel2,RecordDate2,Duration 2
808923,male,23,other,Eastern Cape,SuperSport Blitz,2016/02/21 18:03,2025-09-24T00:01:12.000Z
808923,male,23,other,Eastern Cape,Trace TV,2016/02/17 18:45,2025-09-24T00:13:21.000Z
630977,male,28,coloured,Gauteng,Trace TV,2016/01/16 09:52,2025-09-24T00:00:15.000Z
850656,male,26,black,Mpumalanga,Africa Magic,2016/03/05 21:12,2025-09-24T00:00:17.000Z
850656,male,26,black,Mpumalanga,Channel O,2016/03/06 05:25,2025-09-24T00:00:00.000Z
850656,male,26,black,Mpumalanga,Africa Magic,2016/03/06 07:09,2025-09-24T00:00:00.000Z
2368365,male,27,coloured,Limpopo,ICC Cricket World Cup 2011,2016/03/30 11:17,2025-09-24T00:38:12.000Z
1106115,female,26,black,Western Cape,Africa Magic,2016/01/11 16:06,2025-09-24T00:06:26.000Z
1106115,female,26,black,Western Cape,Trace TV,2016/01/11 15:33,2025-09-24T00:05:57.000Z
820387,male,15,black,Limpopo,SuperSport Blitz,2016/01/27 13:54,2025-09-24T00:12:08.000Z
820387,male,15,black,Limpopo,Cartoon Network,2016/01/27 09:52,2025-09-24T00:01:27.000Z
820387,male,15,black,Limpopo,Channel O,2016/01/25 10:07,2025-09-24T00:00:57.000Z
820387,male,15,black,Limpopo,SuperSport Blitz,2016/01/26 19:30,2025-09-24T00:07:30.000Z
808984,male,42,coloured,Western Cape,kykNET,2016/02/19 15:58,2025-09-24T00:01:57.000Z
778615,None,0,None,None,Channel O,2016/03/12 15:45,2025-09-24T00:03:45.000Z
939662,male,23,black,Mpumalanga,ICC Cricket World Cup 2011,2016/03/30 12:48,2025-09-24T00:02:10.000Z
2359733,male,43,black,Gauteng,Channel O,2016/01/26 21:50,2025-09-24T00:08:33.000Z
866215,male,22,black,Kwazulu Natal,Trace TV,2016/03/07 16:00,2025-09-24T00:04:03.000Z
803575,male,27,indian_asian,Eastern Cape,Supersport Live Events,2016/02/19 09:08,2025-09-24T00:00:22.000Z
803575,male,27,indian_asian,Eastern Cape,Supersport Live Events,2016/01/31 09:46,2025-09-24T00:27:16.000Z
803575,male,27,indian_asian,Eastern Cape,Supersport Live Events,2016/01/23 10:34,2025-09-24T00:39:16.000Z
2090538,male,39,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/30 14:58,2025-09-24T00:29:56.000Z
779471,male,28,black,Eastern Cape,Boomerang,2016/02/10 06:38,2025-09-24T00:11:09.000Z
788744,male,23,coloured,Western Cape,SuperSport Blitz,2016/01/14 23:09,2025-09-24T00:02:30.000Z
788744,male,23,coloured,Western Cape,Supersport Live Events,2016/01/18 09:35,2025-09-24T00:00:52.000Z
2285664,male,28,indian_asian,Mpumalanga,SuperSport Blitz,2016/03/25 07:26,2025-09-24T00:00:00.000Z
2285664,male,28,indian_asian,Mpumalanga,ICC Cricket World Cup 2011,2016/03/26 10:02,2025-09-24T01:06:24.000Z
720398,female,28,coloured,Gauteng,DStv Events 1,2016/01/20 17:22,2025-09-24T00:01:05.000Z
930094,male,26,other,Free State,ICC Cricket World Cup 2011,2016/03/29 10:17,2025-09-24T00:01:24.000Z
930094,male,26,other,Free State,Trace TV,2016/03/29 15:32,2025-09-24T00:01:00.000Z
789241,male,25,coloured,Northern Cape,Boomerang,2016/02/13 08:22,2025-09-24T00:01:58.000Z
771927,female,36,None,Western Cape,Supersport Live Events,2016/01/31 09:08,2025-09-24T00:18:14.000Z
771927,female,36,None,Western Cape,CNN,2016/01/29 16:32,2025-09-24T00:00:58.000Z
771927,female,36,None,Western Cape,SuperSport Blitz,2016/01/28 13:00,2025-09-24T00:17:14.000Z
771927,female,36,None,Western Cape,Supersport Live Events,2016/02/01 08:12,2025-09-24T04:49:00.000Z
771927,female,36,None,Western Cape,Supersport Live Events,2016/01/27 14:14,2025-09-24T00:01:18.000Z
771927,female,36,None,Western Cape,SuperSport Blitz,2016/01/27 05:55,2025-09-24T00:02:26.000Z
771927,female,36,None,Western Cape,Cartoon Network,2016/01/30 16:39,2025-09-24T00:01:38.000Z
904340,male,28,indian_asian,Gauteng,E! Entertainment,2016/03/27 17:38,2025-09-24T00:00:42.000Z
904340,male,28,indian_asian,Gauteng,Vuzu,2016/03/27 17:45,2025-09-24T00:00:23.000Z
904340,male,28,indian_asian,Gauteng,E! Entertainment,2016/03/26 21:29,2025-09-24T00:00:00.000Z
809079,male,30,black,Mpumalanga,Cartoon Network,2016/02/22 19:08,2025-09-24T00:00:08.000Z
809079,male,30,black,Mpumalanga,Africa Magic,2016/02/21 13:27,2025-09-24T00:00:17.000Z
809079,male,30,black,Mpumalanga,Boomerang,2016/02/21 17:15,2025-09-24T00:00:18.000Z
809079,male,30,black,Mpumalanga,SuperSport Blitz,2016/02/21 17:22,2025-09-24T00:00:42.000Z
819358,male,39,white,Western Cape,Trace TV,2016/02/26 20:38,2025-09-24T00:00:45.000Z
819358,male,39,white,Western Cape,ICC Cricket World Cup 2011,2016/03/02 11:59,2025-09-24T00:05:12.000Z
819358,male,39,white,Western Cape,Supersport Live Events,2016/03/19 16:24,2025-09-24T00:03:20.000Z
242356,male,30,white,Gauteng,ICC Cricket World Cup 2011,2016/03/01 09:03,2025-09-24T00:00:00.000Z
830921,male,22,white,Eastern Cape,Trace TV,2016/03/03 19:24,2025-09-24T00:01:15.000Z
866295,male,43,None,Gauteng,ICC Cricket World Cup 2011,2016/03/15 11:01,2025-09-24T00:46:48.000Z
173765,None,0,None,None,Trace TV,2016/01/08 07:29,2025-09-24T00:01:03.000Z
764468,male,34,black,Gauteng,Channel O,2016/02/02 06:59,2025-09-24T00:02:09.000Z
724179,female,21,black,Gauteng,Channel O,2016/01/20 18:49,2025-09-24T00:10:51.000Z
865440,male,31,indian_asian,Gauteng,Supersport Live Events,2016/03/14 08:35,2025-09-24T00:21:28.000Z
865440,male,31,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/14 10:28,2025-09-24T00:06:10.000Z
892643,male,28,coloured,Western Cape,Cartoon Network,2016/03/13 10:16,2025-09-24T00:21:24.000Z
892643,male,28,coloured,Western Cape,SuperSport Blitz,2016/03/13 12:10,2025-09-24T00:00:08.000Z
892643,male,28,coloured,Western Cape,Boomerang,2016/01/02 00:24,2025-09-24T03:32:21.000Z
892643,male,28,coloured,Western Cape,Cartoon Network,2016/01/04 04:42,2025-09-24T00:02:42.000Z
892643,male,28,coloured,Western Cape,Cartoon Network,2016/01/19 19:40,2025-09-24T00:04:12.000Z
771978,male,23,black,Kwazulu Natal,Boomerang,2016/02/05 03:06,2025-09-24T00:00:31.000Z
820573,male,32,white,Gauteng,Boomerang,2016/02/26 17:06,2025-09-24T00:00:20.000Z
820573,male,32,white,Gauteng,ICC Cricket World Cup 2011,2016/03/02 10:04,2025-09-24T00:55:08.000Z
820573,male,32,white,Gauteng,SawSee,2016/02/28 19:16,2025-09-24T00:00:57.000Z
2420497,male,22,coloured,Western Cape,Trace TV,2016/01/10 19:58,2025-09-24T00:47:54.000Z
82389,None,0,None,None,DStv Events 1,2016/01/08 11:33,2025-09-24T00:09:30.000Z
809148,male,35,indian_asian,Limpopo,ICC Cricket World Cup 2011,2016/03/13 13:17,2025-09-24T00:09:58.000Z
809148,male,35,indian_asian,Limpopo,Trace TV,2016/02/20 22:40,2025-09-24T00:04:45.000Z
809148,male,35,indian_asian,Limpopo,ICC Cricket World Cup 2011,2016/02/27 10:40,2025-09-24T00:43:22.000Z
2429528,male,30,None,Gauteng,E! Entertainment,2016/03/31 21:47,2025-09-24T00:00:58.000Z
2429528,male,30,None,Gauteng,Supersport Live Events,2016/03/30 05:51,2025-09-24T00:01:16.000Z
2429528,male,30,None,Gauteng,ICC Cricket World Cup 2011,2016/03/30 05:51,2025-09-24T00:00:22.000Z
2429528,male,30,None,Gauteng,SuperSport Blitz,2016/03/30 16:17,2025-09-24T00:02:20.000Z
2429528,male,30,None,Gauteng,Boomerang,2016/03/30 10:30,2025-09-24T00:00:25.000Z
2429528,male,30,None,Gauteng,Cartoon Network,2016/03/25 16:26,2025-09-24T00:00:11.000Z
2429528,male,30,None,Gauteng,DStv Events 1,2016/03/25 13:51,2025-09-24T00:00:30.000Z
2429528,male,30,None,Gauteng,Trace TV,2016/03/29 05:06,2025-09-24T00:00:39.000Z
45769,None,0,None,None,ICC Cricket World Cup 2011,2016/03/12 11:28,2025-09-24T00:01:44.000Z
924896,male,25,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/30 10:23,2025-09-24T01:01:38.000Z
894417,None,0,None,None,Trace TV,2016/03/28 10:23,2025-09-24T00:00:00.000Z
894417,None,0,None,None,E! Entertainment,2016/03/24 05:48,2025-09-24T00:01:02.000Z
772052,male,32,coloured,Western Cape,Supersport Live Events,2016/03/20 16:26,2025-09-24T00:00:00.000Z
772052,male,32,coloured,Western Cape,Supersport Live Events,2016/03/26 14:38,2025-09-24T00:45:32.000Z
898831,male,26,white,Gauteng,ICC Cricket World Cup 2011,2016/03/23 10:07,2025-09-24T00:00:00.000Z
788922,male,52,coloured,Western Cape,ICC Cricket World Cup 2011,2016/03/05 16:03,2025-09-24T00:00:52.000Z
788922,male,52,coloured,Western Cape,ICC Cricket World Cup 2011,2016/02/27 16:06,2025-09-24T00:01:52.000Z
809231,male,45,black,Gauteng,CNN,2016/02/22 13:13,2025-09-24T00:03:44.000Z
809231,male,45,black,Gauteng,CNN,2016/02/26 10:51,2025-09-24T00:01:16.000Z
809231,male,45,black,Gauteng,CNN,2016/03/22 11:10,2025-09-24T00:01:45.000Z
809231,male,45,black,Gauteng,SuperSport Blitz,2016/02/14 15:31,2025-09-24T00:02:06.000Z
809231,male,45,black,Gauteng,CNN,2016/03/24 15:44,2025-09-24T00:03:45.000Z
809231,male,45,black,Gauteng,CNN,2016/02/16 06:48,2025-09-24T00:12:28.000Z
809231,male,45,black,Gauteng,Cartoon Network,2016/02/04 11:18,2025-09-24T00:00:48.000Z
809231,male,45,black,Gauteng,Channel O,2016/02/10 13:22,2025-09-24T00:07:57.000Z
809231,male,45,black,Gauteng,CNN,2016/03/23 08:45,2025-09-24T00:03:28.000Z
809231,male,45,black,Gauteng,Supersport Live Events,2016/03/05 20:37,2025-09-24T00:02:50.000Z
809231,male,45,black,Gauteng,CNN,2016/02/06 12:22,2025-09-24T00:02:56.000Z
809231,male,45,black,Gauteng,ICC Cricket World Cup 2011,2016/03/20 08:44,2025-09-24T00:05:56.000Z
809231,male,45,black,Gauteng,SuperSport Blitz,2016/02/27 09:10,2025-09-24T00:07:06.000Z
809231,male,45,black,Gauteng,Trace TV,2016/02/23 04:58,2025-09-24T00:05:15.000Z
809231,male,45,black,Gauteng,CNN,2016/02/23 05:31,2025-09-24T00:17:22.000Z
809231,male,45,black,Gauteng,E! Entertainment,2016/03/30 15:57,2025-09-24T00:00:26.000Z
2203633,male,70,white,Eastern Cape,E! Entertainment,2016/02/16 16:29,2025-09-24T00:01:26.000Z
790685,male,29,black,Kwazulu Natal,Africa Magic,2016/02/14 07:36,2025-09-24T00:00:02.000Z
872104,male,24,coloured,Western Cape,Supersport Live Events,2016/03/19 18:08,2025-09-24T00:00:00.000Z
924949,male,27,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/30 11:40,2025-09-24T00:00:00.000Z
820737,None,0,None,None,Supersport Live Events,2016/03/18 06:35,2025-09-24T00:08:30.000Z
779656,female,29,black,Gauteng,Trace TV,2016/01/15 07:57,2025-09-24T00:09:09.000Z
779656,female,29,black,Gauteng,Africa Magic,2016/01/24 16:32,2025-09-24T00:00:00.000Z
779656,female,29,black,Gauteng,Africa Magic,2016/01/24 20:10,2025-09-24T00:00:00.000Z
779656,female,29,black,Gauteng,Africa Magic,2016/02/09 19:34,2025-09-24T00:00:00.000Z
779656,female,29,black,Gauteng,Africa Magic,2016/02/08 19:51,2025-09-24T00:00:00.000Z
779656,female,29,black,Gauteng,Africa Magic,2016/02/08 18:28,2025-09-24T00:32:29.000Z
2426146,female,35,coloured,Western Cape,SuperSport Blitz,2016/03/06 15:29,2025-09-24T00:01:58.000Z
2426146,female,35,coloured,Western Cape,Trace TV,2016/03/10 10:17,2025-09-24T00:12:51.000Z
2420731,male,43,black,Gauteng,Channel O,2016/03/22 17:26,2025-09-24T00:13:42.000Z
