USERID;AGE;GENDER;PROVINCE;AGE_BUCKETS;RACE
34;55;male;Free State;Adults;white
39;54;male;Eastern Cape;Adults;black
63;51;male;Kwazulu Natal;Adults;black
90;49;male;Kwazulu Natal;Adults;coloured
97;48;male;Free State;Adults;coloured
104;47;male;Gauteng;Adults;black
107;47;female;Gauteng;Adults;black
108;47;male;Western Cape;Adults;coloured
120;46;male;Western Cape;Adults;coloured
132;45;male;Gauteng;Adults;black
135;45;male;Gauteng;Adults;Unknown
138;45;male;Eastern Cape;Adults;Unknown
146;45;male;Western Cape;Adults;Unknown
164;43;male;Gauteng;Adults;black
206;42;male;Free State;Adults;coloured
212;41;male;Gauteng;Adults;black
249;40;male;Gauteng;Adults;black
305;39;male;Eastern Cape;Adults;black
317;38;male;North West;Adults;black
325;38;female;Gauteng;Adults;black
338;38;male;Limpopo;Adults;black
345;38;male;Gauteng;Adults;black
385;37;male;Gauteng;Adults;black
444;35;male;Gauteng;Youth;black
450;35;female;Eastern Cape;Youth;Unknown
464;35;female;Gauteng;Youth;black
468;34;female;Kwazulu Natal;Youth;black
476;34;male;Mpumalanga;Youth;black
477;34;male;North West;Youth;black
479;34;male;Gauteng;Youth;black
507;34;male;Gauteng;Youth;black
537;33;male;Gauteng;Youth;coloured
547;33;male;Gauteng;Youth;indian_asian
551;33;male;Limpopo;Youth;black
553;33;male;Limpopo;Youth;white
623;31;male;Gauteng;Youth;black
649;31;male;Mpumalanga;Youth;black
655;31;male;Gauteng;Youth;white
666;31;male;Mpumalanga;Youth;coloured
675;31;female;Gauteng;Youth;black
682;30;male;Gauteng;Youth;black
696;30;female;Gauteng;Youth;white
701;30;female;Gauteng;Youth;black
775;29;female;Gauteng;Youth;coloured
805;29;female;Gauteng;Youth;white
806;29;male;Gauteng;Youth;indian_asian
830;28;male;Northern Cape;Youth;black
850;28;male;Western Cape;Youth;coloured
854;28;male;Free State;Youth;black
857;28;male;Eastern Cape;Youth;black
864;28;female;Western Cape;Youth;Unknown
867;28;male;North West;Youth;white
870;28;male;Free State;Youth;white
